0	87
1	4d
2	81
3	2a
4	fc
5	95
6	78
7	1d
8	b5
9	c0
10	f4
11	0e
12	a7
13	2d
14	82
15	b4
16	e4
17	e2
18	f6
19	61
20	c4
21	65
22	10
23	97
24	8e
25	52
26	1f
27	f5
28	fd
29	7f
30	ae
31	43
32	fe
33	92
34	31
35	06
36	eb
37	57
38	ac
39	d1
40	ed
41	e3
42	9d
43	2b
44	7e
45	41
46	04
47	55
48	be
49	51
50	5d
51	7c
52	12
53	18
54	74
55	8f
56	3c
57	33
58	96
59	5b
60	ff
61	0d
62	ee
63	21
64	50
65	79
66	05
67	d8
68	9e
69	af
70	c9
71	85
72	5c
73	c5
74	c1
75	6b
76	cd
77	d2
78	d9
79	d5
80	32
81	0a
82	dc
83	6e
84	03
85	7a
86	0c
87	01
88	54
89	f7
90	e9
91	5e
92	64
93	2c
94	67
95	d3
96	df
97	76
98	9f
99	bb
100	9a
101	0b
102	4b
103	5f
104	98
105	91
106	59
107	62
108	19
109	53
110	3d
111	88
112	45
113	89
114	1c
115	db
116	a9
117	bc
118	2e
119	4c
120	b6
121	38
122	ab
123	34
124	aa
125	69
126	8d
127	6d
128	e5
129	13
130	25
131	24
132	46
133	73
134	da
135	b1
136	b2
137	08
138	1a
139	68
140	14
141	d6
142	8b
143	80
144	28
145	6f
146	b3
147	30
148	cf
149	9b
150	f9
151	17
152	e6
153	ad
154	58
155	a0
156	de
157	90
158	1b
159	c8
160	60
161	fb
162	86
163	71
164	35
165	b0
166	29
167	47
168	c7
169	77
170	20
171	3a
172	4f
173	56
174	36
175	bf
176	1e
177	fa
178	15
179	b8
180	ef
181	37
182	83
183	a1
184	11
185	48
186	ec
187	c6
188	22
189	0f
190	27
191	a3
192	ca
193	f3
194	b7
195	dd
196	6a
197	09
198	d0
199	93
200	f1
201	39
202	ea
203	b9
204	63
205	a2
206	bd
207	42
208	70
209	f0
210	a5
211	75
212	e8
213	40
214	16
215	ba
216	8c
217	84
218	3e
219	26
220	ce
221	2f
222	e1
223	72
224	3f
225	3b
226	4a
227	d7
228	6c
229	7d
230	02
231	cc
232	e7
233	a8
234	8a
235	f2
236	4e
237	9c
238	94
239	a4
240	cb
241	d4
242	00
243	a6
244	c2
245	f8
246	5a
247	44
248	23
249	7b
250	e0
251	07
252	49
253	66
254	99
255	c3
