0	14
1	8b
2	09
3	87
4	32
5	d2
6	15
7	d6
8	a3
9	64
10	fa
11	36
12	91
13	f3
14	16
15	03
16	e6
17	dd
18	27
19	2e
20	82
21	37
22	a6
23	ec
24	20
25	04
26	60
27	c9
28	f4
29	e0
30	25
31	b4
32	56
33	e1
34	eb
35	48
36	d8
37	6c
38	db
39	93
40	63
41	d1
42	8d
43	b5
44	b3
45	be
46	bc
47	c5
48	7e
49	d4
50	e3
51	7a
52	66
53	6a
54	72
55	6d
56	ba
57	67
58	ef
59	c6
60	76
61	3a
62	21
63	10
64	29
65	e4
66	83
67	8c
68	51
69	9e
70	40
71	b2
72	e2
73	c3
74	01
75	ee
76	cb
77	30
78	ad
79	a7
80	22
81	94
82	52
83	5c
84	bb
85	ea
86	c1
87	fe
88	8e
89	b9
90	41
91	2d
92	13
93	6e
94	54
95	e8
96	a0
97	4a
98	31
99	ed
100	11
101	fc
102	42
103	c0
104	49
105	de
106	5b
107	5d
108	af
109	28
110	7b
111	da
112	4b
113	b1
114	0a
115	7f
116	3d
117	0b
118	18
119	92
120	3e
121	95
122	38
123	f2
124	c7
125	a2
126	43
127	2a
128	5f
129	b8
130	9c
131	c4
132	26
133	7c
134	f6
135	d9
136	bf
137	19
138	74
139	6b
140	e5
141	fb
142	7d
143	47
144	35
145	4d
146	58
147	17
148	2b
149	1b
150	f1
151	23
152	f5
153	68
154	80
155	84
156	bd
157	73
158	d3
159	c2
160	81
161	99
162	33
163	3b
164	5e
165	cd
166	71
167	90
168	1a
169	ca
170	cf
171	4f
172	a9
173	05
174	57
175	ff
176	55
177	06
178	4e
179	86
180	02
181	fd
182	dc
183	1d
184	08
185	62
186	75
187	4c
188	6f
189	2c
190	d5
191	b6
192	53
193	79
194	ae
195	f7
196	98
197	1c
198	9d
199	b0
200	aa
201	07
202	a1
203	45
204	3c
205	1e
206	50
207	88
208	9f
209	85
210	78
211	c8
212	89
213	00
214	f0
215	e9
216	39
217	ce
218	df
219	44
220	96
221	f8
222	8a
223	0f
224	e7
225	1f
226	59
227	12
228	a4
229	77
230	61
231	2f
232	0c
233	8f
234	97
235	d0
236	46
237	a8
238	70
239	24
240	a5
241	d7
242	0d
243	b7
244	34
245	3f
246	ab
247	69
248	9a
249	9b
250	5a
251	ac
252	65
253	0e
254	f9
255	cc
